,saliency,display_index,word_length,sentence_length,relative_word_frequency,lemma_polarity,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,visualization_condition,condition_order,completion_time_ms
61,0.0808,61,3,8,0.022202272580076426,0.0,0.5,2,3,other,cop,reviews-216281-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8328
62,0.0056700000000000006,62,4,6,0.00014300306373367922,0.67324,0.8333333333333334,5,1,other,nmod,reviews-178726-0007,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6222
63,0.53,63,6,6,0.0,0.0,0.16666666666666666,6,7,first_upper,flat,reviews-139152-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7552
64,0.0574,64,3,5,0.04855627529615195,0.0,0.8,3,2,other,cc,reviews-178726-0005,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7492
65,0.14,65,4,10,0.0,0.0,0.3,4,4,first_upper,flat,reviews-042085-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6497
66,0.265,66,2,6,0.0003283673268099707,0.37553000000000003,0.3333333333333333,3,5,other,root,reviews-035993-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7363
67,0.0726,67,6,6,0.000843353727383398,0.15792,0.6666666666666666,5,3,other,advmod,reviews-001325-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5619
68,0.509,68,4,8,0.0001580607919796613,-0.56196,0.125,7,6,other,obj,reviews-346563-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7382
69,0.8340000000000001,69,10,2,0.0,-0.31108,0.5,1,7,first_upper,root,reviews-025894-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6379
70,1.0,70,6,1,0.0,0.6351100000000001,1.0,1,7,first_upper,root,reviews-354474-0005,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6498
71,0.6729999999999999,71,7,7,9.025566026959137e-06,-0.25485,0.14285714285714285,6,7,other,acl:relcl,reviews-255757-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8030
72,0.049,72,1,8,0.09994524792307666,0.0,0.75,8,2,other,punct,reviews-012047-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,13774
73,0.10300000000000001,73,4,4,0.005944552243937132,0.0,1.0,2,3,other,det,reviews-229100-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6912
74,0.616,74,7,3,0.0006447610383881966,0.0,0.3333333333333333,2,6,other,root,reviews-038523-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6870
75,0.745,75,7,3,0.0,0.71692,0.3333333333333333,1,7,first_upper,amod,reviews-146820-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5433
76,0.0175,76,7,6,0.0006447610383881966,0.0,1.0,6,1,other,conj,reviews-025894-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7691
77,0.0392,77,3,7,0.13394493310165798,0.0,0.5714285714285714,5,2,other,det,reviews-392826-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5604
78,0.0555,78,2,4,0.0009107960222682637,0.0,0.5,3,3,other,root,reviews-341750-0006,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8819
79,0.191,79,1,11,0.0005077750186724901,0.0,0.18181818181818185,11,4,other,punct,reviews-314880-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8604
80,1.0,80,6,1,0.0,-0.15794,1.0,1,7,first_upper,root,reviews-128808-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6879
81,0.0572,81,1,10,0.09994524792307666,0.0,0.8,10,2,other,punct,reviews-059655-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8539
82,0.847,82,7,2,3.9277086328374953e-05,0.0,0.5,2,7,other,root,reviews-169610-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,4840
83,0.10800000000000001,83,1,8,0.09994524792307666,0.0,0.375,8,4,other,punct,reviews-188382-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,9236
84,0.095,84,5,6,3.369847014085749e-05,0.23289,0.5,3,3,other,root,reviews-126134-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7344
85,0.22899999999999998,85,3,7,0.003606643397134762,0.0,0.14285714285714285,5,4,other,nmod:poss,reviews-206303-0005,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6981
