,saliency,display_index,word_length,sentence_length,relative_word_frequency,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,completion_time_ms
97,0.1912523392323886,97,3,19,0.013765703394605923,0.9473684210526316,7,3,other,case,01049033,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4160
98,0.3902405543439913,98,7,14,0.0,0.6428571428571429,12,4,first_upper,nmod,w01100047,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6837
99,0.7509274565835216,99,7,11,0.0,0.3636363636363637,10,5,first_upper,obl,02038007,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4430
100,0.2125587222800598,100,7,13,0.000300576988682238,0.8461538461538461,2,3,other,root,01109022,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4219
101,0.4996145977347954,101,5,10,0.0,0.6,2,4,first_upper,nsubj,02068010,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3068
102,0.3565271273221864,102,3,6,0.013765703394605923,1.0,3,4,other,case,02048002,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5162
103,0.4275135322793036,103,5,9,3.5776586167022315e-08,0.7777777777777778,6,4,other,nummod,03001030,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4058
104,0.8518199450362005,104,4,8,9.371676746451496e-05,0.125,3,7,other,obl:tmod,w01002075,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4078
105,0.29453806794388915,105,9,17,0.000507651869416963,0.5294117647058824,12,4,other,advmod,01050014,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4201
106,0.7306643421706085,106,13,18,0.0,0.16666666666666666,17,6,first_upper,nmod,w02008028,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4164
107,0.8114361657903633,107,1,5,0.0007968519036980879,0.8,3,7,other,nummod,01121051,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6724
108,0.9487022899173828,108,5,15,0.005084013888971622,0.13333333333333333,12,7,other,det,w01019073,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3234
